year,circuit,driver,lap_number,lap_time_seconds,compound,tyre_life,is_pit_lap,track_status,lap_time_delta,tyre_age_normalised,relative_position,laps_remaining,compound_encoded,pit_in_next_3_laps
2019,Canada,GAS,12,78.148,HARD,5.0,0,12.0,0.9039999999999964,0.13157894736842105,0.45,58,2,0
2019,Canada,GAS,13,78.098,HARD,6.0,0,21.0,0.8539999999999992,0.15789473684210525,0.45,57,2,0
2019,Canada,GAS,14,77.439,HARD,7.0,0,1.0,0.19499999999999318,0.18421052631578946,0.45,56,2,0
2019,Canada,GAS,15,78.164,HARD,8.0,0,1.0,0.9200000000000017,0.21052631578947367,0.45,55,2,0
2019,Canada,GAS,16,77.847,HARD,9.0,0,1.0,0.6029999999999944,0.23684210526315788,0.45,54,2,0
2019,Canada,GAS,17,78.019,HARD,10.0,0,1.0,0.7750000000000057,0.2631578947368421,0.45,53,2,0
2019,Canada,GAS,18,78.057,HARD,11.0,0,1.0,0.8130000000000024,0.2894736842105263,0.45,52,2,0
2019,Canada,GAS,19,77.483,HARD,12.0,0,1.0,0.23900000000000432,0.3157894736842105,0.45,51,2,0
2019,Canada,GAS,20,77.879,HARD,13.0,0,1.0,0.6350000000000051,0.34210526315789475,0.45,50,2,0
2019,Canada,GAS,21,77.947,HARD,14.0,0,1.0,0.703000000000003,0.3684210526315789,0.45,49,2,0
2019,Canada,GAS,22,77.734,HARD,15.0,0,1.0,0.4899999999999949,0.39473684210526316,0.45,48,2,0
2019,Canada,GAS,23,77.578,HARD,16.0,0,1.0,0.3340000000000032,0.42105263157894735,0.45,47,2,0
2019,Canada,GAS,24,77.474,HARD,17.0,0,1.0,0.23000000000000398,0.4473684210526316,0.45,46,2,0
2019,Canada,GAS,25,77.259,HARD,18.0,0,1.0,0.015000000000000568,0.47368421052631576,0.45,45,2,0
2019,Canada,GAS,26,77.546,HARD,19.0,0,1.0,0.3020000000000067,0.5,0.45,44,2,0
2019,Canada,GAS,27,77.244,HARD,20.0,0,1.0,0.0,0.5263157894736842,0.45,43,2,0
2019,Canada,GAS,28,77.477,HARD,21.0,0,1.0,0.2330000000000041,0.5526315789473685,0.45,42,2,0
2019,Canada,GAS,29,76.878,HARD,22.0,0,1.0,-0.36599999999999966,0.5789473684210527,0.45,41,2,0
2019,Canada,GAS,30,77.296,HARD,23.0,0,12.0,0.05200000000000671,0.6052631578947368,0.45,40,2,0
2019,Canada,GAS,31,77.514,HARD,24.0,0,21.0,0.269999999999996,0.631578947368421,0.45,39,2,0
2019,Canada,GAS,32,76.955,HARD,25.0,0,1.0,-0.2890000000000015,0.6578947368421053,0.45,38,2,0
2019,Canada,GAS,33,76.817,HARD,26.0,0,1.0,-0.4270000000000067,0.6842105263157895,0.45,37,2,0
2019,Canada,GAS,34,76.569,HARD,27.0,0,1.0,-0.6749999999999972,0.7105263157894737,0.45,36,2,0
2019,Canada,GAS,35,76.792,HARD,28.0,0,1.0,-0.4519999999999982,0.7368421052631579,0.45,35,2,0
